Benchmark5DeriveCounts-8            	 1000000	      1706 ns/op	     656 B/op	      18 allocs/op
Benchmark5DeriveCounts-8            	 1000000	      1694 ns/op	     656 B/op	      18 allocs/op
Benchmark5DeriveCounts-8            	 1000000	      1692 ns/op	     656 B/op	      18 allocs/op
Benchmark5DeriveCounts-8            	 1000000	      1680 ns/op	     656 B/op	      18 allocs/op
Benchmark5DeriveCounts-8            	 1000000	      1690 ns/op	     656 B/op	      18 allocs/op
Benchmark5DeriveCounts-8            	 1000000	      1694 ns/op	     656 B/op	      18 allocs/op
Benchmark5DeriveCounts-8            	 1000000	      1679 ns/op	     656 B/op	      18 allocs/op
Benchmark5DeriveCounts-8            	 1000000	      1701 ns/op	     656 B/op	      18 allocs/op
Benchmark5DeriveCounts-8            	 1000000	      1683 ns/op	     656 B/op	      18 allocs/op
Benchmark5DeriveCounts-8            	 1000000	      1692 ns/op	     656 B/op	      18 allocs/op
BenchmarkGetVersionBM20-8           	100000000	        10.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBM20-8           	100000000	        10.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBM20-8           	100000000	        10.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBM20-8           	100000000	        10.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBM20-8           	100000000	        10.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBM20-8           	100000000	        10.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBM20-8           	100000000	        10.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBM20-8           	100000000	        10.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBM20-8           	100000000	        10.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBM20-8           	100000000	        10.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBM20NoEquals-8   	100000000	        10.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBM20NoEquals-8   	100000000	        10.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBM20NoEquals-8   	100000000	        10.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBM20NoEquals-8   	100000000	        10.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBM20NoEquals-8   	100000000	        10.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBM20NoEquals-8   	100000000	        10.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBM20NoEquals-8   	100000000	        10.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBM20NoEquals-8   	100000000	        10.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBM20NoEquals-8   	100000000	        10.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBM20NoEquals-8   	100000000	        10.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBLegacy-8        	200000000	         9.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBLegacy-8        	200000000	         9.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBLegacy-8        	200000000	         9.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBLegacy-8        	200000000	         9.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBLegacy-8        	200000000	         9.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBLegacy-8        	200000000	         9.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBLegacy-8        	200000000	         9.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBLegacy-8        	200000000	         9.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBLegacy-8        	200000000	         9.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBLegacy-8        	200000000	         9.16 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/metrics20/go-metrics20/carbon20	65.850s
