Benchmark5DeriveCounts-8            	 1000000	      1675 ns/op	     656 B/op	      18 allocs/op
Benchmark5DeriveCounts-8            	 1000000	      1689 ns/op	     656 B/op	      18 allocs/op
Benchmark5DeriveCounts-8            	 1000000	      1674 ns/op	     656 B/op	      18 allocs/op
Benchmark5DeriveCounts-8            	 1000000	      1671 ns/op	     656 B/op	      18 allocs/op
Benchmark5DeriveCounts-8            	 1000000	      1672 ns/op	     656 B/op	      18 allocs/op
Benchmark5DeriveCounts-8            	 1000000	      1697 ns/op	     656 B/op	      18 allocs/op
Benchmark5DeriveCounts-8            	 1000000	      1674 ns/op	     656 B/op	      18 allocs/op
Benchmark5DeriveCounts-8            	 1000000	      1669 ns/op	     656 B/op	      18 allocs/op
Benchmark5DeriveCounts-8            	 1000000	      1688 ns/op	     656 B/op	      18 allocs/op
Benchmark5DeriveCounts-8            	 1000000	      1703 ns/op	     656 B/op	      18 allocs/op
BenchmarkGetVersionBM20-8           	100000000	        12.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBM20-8           	100000000	        12.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBM20-8           	100000000	        12.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBM20-8           	100000000	        12.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBM20-8           	100000000	        12.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBM20-8           	100000000	        12.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBM20-8           	100000000	        12.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBM20-8           	100000000	        12.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBM20-8           	100000000	        12.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBM20-8           	100000000	        12.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBM20NoEquals-8   	50000000	        27.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBM20NoEquals-8   	50000000	        27.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBM20NoEquals-8   	50000000	        27.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBM20NoEquals-8   	50000000	        27.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBM20NoEquals-8   	50000000	        27.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBM20NoEquals-8   	50000000	        27.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBM20NoEquals-8   	50000000	        27.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBM20NoEquals-8   	50000000	        27.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBM20NoEquals-8   	50000000	        27.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBM20NoEquals-8   	50000000	        27.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBLegacy-8        	100000000	        22.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBLegacy-8        	100000000	        22.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBLegacy-8        	100000000	        22.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBLegacy-8        	100000000	        22.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBLegacy-8        	100000000	        22.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBLegacy-8        	100000000	        22.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBLegacy-8        	100000000	        22.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBLegacy-8        	100000000	        22.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBLegacy-8        	100000000	        22.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetVersionBLegacy-8        	100000000	        22.3 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/metrics20/go-metrics20/carbon20	65.999s
